,id,question,A,B,C,D,answer
583,Mercury_178115,Which of the following helps keep the Moon in its orbit?,friction,gravity,longitude,latitude,B
584,NCEOGA_2013_5_44,Which process allows green plants to control the amount of water stored in their leaves?,photosynthesis,condensation,respiration,transpiration,D
585,Mercury_183698,What is a job of white blood cells?,transport oxygen,remove waste,fight disease,enable reproduction,C
586,Mercury_SC_LBS10028,Which is an example of kinetic energy?,a book sitting on a shelf,a ball rolling down a hill,a runner about to start a race,a window getting hot from the sun,B
587,Mercury_7216930,A new mutation that occurs in which type of cell can be passed on to offspring?,blood cell,nerve cell,brain cell,egg cell,D
588,Mercury_7004603,"When too much salt is detected in the bloodstream, the brain secretes a hormone that helps the body retain water by reducing the amount of urine produced. This is an example of",a feedback loop.,an acquired trait.,a balanced ecosystem.,a symbiotic relationship.,A
589,Mercury_7026880,Which of these is a safe practice in a laboratory investigation when working with chemicals?,pouring unused chemicals down the sink,mixing leftover chemicals in one container,wearing safety goggles when working with chemicals,returning unused chemicals to the original container,C
590,Mercury_7015593,Which change in the environment would have a negative effect on the survival of a species in an ecosystem?,increase in the population of prey,introduction of a competing species,decrease in the population of predators,increase in genetic diversity of the species,B
591,Mercury_7084333,An element is identified by,its number of protons.,the atomic mass.,the type of charge.,its number of isotopes.,A
592,VASoL_2008_3_2,Which of these dissolve in water?,Sand grains,Sugar cubes,Plastic straws,Wooden spoons,B
593,OHAT_2010_5_43,What is the main function of a plant stem?,to collect pollen from other plants to make seeds,to absorb water and plant nutrients from the soil,to carry food and water to the rest of the plant,to make food for the plant,C
594,NYSEDREGENTS_2011_8_12,Naturally occurring variations within a species are mainly the result of mutations and,sexual reproduction,dynamic equilibrium,metabolism,camouflage,A
595,CSZ30112,"As a sample of water turns to ice,",new molecules are formed.,the mass of the sample is increased.,the arrangement of the molecules changes.,energy is absorbed by the molecules.,C
596,Mercury_SC_413077,An ice cube is placed in a pan. The pan is placed over an open flame. Which change will most likely happen over time?,The ice changes to a liquid and back to a solid.,The ice changes to a liquid then to a gas.,The ice changes to a gas and back to a solid.,The ice changes to a gas then to a liquid.,B
597,Mercury_SC_407369,"Byron is investigating how temperature affects mold growth on bread. Before starting his procedure, Byron states in his journal that he thinks wet bread placed in the refrigerator will grow the most mold. Which term best describes Byron's statement?",conclusion,result,hypothesis,variable,C
598,MCAS_1998_4_16,The telephone was invented in Boston by,Alexander Graham Bell.,Samuel F. B. Morse.,Henry Ford.,Thomas Alva Edison.,A
599,Mercury_416462,Which characteristic can an amoeba change that a paramecium cannot change?,sex,shape,color,position,B
600,CSZ_2006_5_CSZ10266,A metal spoon was left in a pot of boiling soup. The cook burned a finger by touching the spoon. Why did the finger get burned?,The metal spoon chemically reacted with the cook's hand.,The metal spoon conducted electricity to the cook's hand.,The metal spoon conducted heat to the cook's hand.,The metal spoon insulated the cook's hand.,C
601,Mercury_7213518,Light rays are focused by the lens of a camera through the process of,reflection.,refraction.,dispersion.,diffraction.,B
602,Mercury_184083,Which of these provides the best evidence that the distribution of Earth's oceans has changed over time?,hot spots on ocean floors,seismic activity along plate boundaries,sediment buildup on continental slope,marine fossils found on land masses,D
603,Mercury_7024343,Which change would have the greatest negative impact on the survival of an owl species?,an increase in primary consumer population,an decrease in acid rain,an decrease in size of habitat,an increase in producers,C
604,CSZ10086,Which organ removes cell waste from the blood?,the large intestine,the small intestine,the kidney,the heart,C
605,Mercury_7011340,"According to the Big Bang Theory, how is the universe changing?",It is contracting.,It is expanding.,Only the rim is expanding.,Only the center is contracting.,B
606,Mercury_SC_400116,Light enters the human eye through the,retina.,pupil.,iris.,lens.,B
607,MCAS_2016_5_12,The stages in the life cycle of an organism are shown below. birth -> growth -> development -> reproduction -> death In which life cycle stage will a new organism be made?,growth,development,reproduction,death,C
608,MCAS_2008_5_5617,Baby chicks peck their way out of their shells when they hatch. This activity is an example of which of the following types of behavior?,instinctive,learned,planned,social,A
609,Mercury_7114888,Which conclusion can be made about earthworms because they do not have an internal skeleton?,They are invertebrates.,They have radial symmetry.,They are made of one segment.,They have an open circulatory system.,A
610,Mercury_7083353,The smallest unit of a plant that can perform all of the processes of life is the,leaf.,cell.,tissue.,root.,B
611,Mercury_SC_408685,Soda water is a liquid that has bubbles of carbon dioxide in it. Which term best describes soda water?,a mixture,a molecule,an element,a compound,A
612,Mercury_7109550,"All stars start forming in the same manner. Some follow the life cycle of the Sun, while others turn into neutron stars or black holes. Which property determines the fate of a star as it develops?",mass,location,luminosity,temperature,A
613,TIMSS_1995_8_O15,"If a neutral atom loses an electron, what is formed?",A gas,An ion,An acid,A molecule,B
614,Mercury_7033495,A student mixed baking soda with vinegar and observed that the reaction was endothermic. When is a reaction endothermic?,when it is reversible,when it can be repeated,when it requires heat to make it happen,when energy is released by the process,C
615,MCAS_2008_8_5720,"What is the primary energy source that drives all weather events, including precipitation, hurricanes, and tornados?",the Sun,the Moon,Earth's gravity,Earth's rotation,A
616,Mercury_SC_406036,Which system absorbs and carries food from the digestive system to the rest of the body?,nervous system,muscular system,circulatory system,respiratory system,C
617,Mercury_400613,Why do planets stay in orbit around the Sun?,attraction of gravity,effect of inertia,frictional force,rotational force,A
618,MEA_2014_8_9,Earth rotates on its north-south axis. Which statement best describes one complete rotation?,It takes six months and causes summer and winter seasons.,It takes 24 hours and causes night and day.,"It takes 29 days, which represents one cycle of the Moon's phases.","It takes 365 days, which represents one Earth year.",B
619,LEAP_2003_4_10252,A rock sample will most likely contain,plants.,minerals.,water.,wood.,B
620,Mercury_7007385,A jet plane is moving at a constant velocity on a flat surface. Which forces act against the forward motion of the plane?,gravity and engine thrust,engine thrust and friction,friction and air resistance,air resistance and gravity,C
621,Mercury_7217945,Atmospheric greenhouse gases help heat the atmosphere by,increasing the amount of solar radiation reaching Earth.,storing energy produced by human activity.,absorbing infrared radiation released by Earth.,increasing the average density of air.,C
